Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SMARTINDONASIA_API_SmokeTest,,,,2019-09-24 22:05:34,2019-09-24 22:05:41,6.956s,INCOMPLETE
,,,,,,,
Test Cases/a.ValidateMobileNumber_Test,,,,2019-09-24 22:05:34,2019-09-24 22:05:38,3.642s,PASSED
"sendRequest(findTestObject(""aValidate Mobile Number"", [""protocal"":Endpoint]))",,,,2019-09-24 22:05:35,2019-09-24 22:05:37,1.824s,PASSED
"response = sendRequestAndVerify(findTestObject(""aValidate Mobile Number"", [""protocal"":Endpoint]))",,,,2019-09-24 22:05:37,2019-09-24 22:05:38,1.272s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2019-09-24 22:05:38,2019-09-24 22:05:38,0.013s,PASSED
result = slurper.parseText(response.getResponseText()),,,,2019-09-24 22:05:38,2019-09-24 22:05:38,0.027s,PASSED
"println(""***************************************"")",,,,2019-09-24 22:05:38,2019-09-24 22:05:38,0.009s,PASSED
"println(""THIS IS THE RESPONSE FROM VALIDATEMOBILENUMBER TEST CASE = "" + result)",,,,2019-09-24 22:05:38,2019-09-24 22:05:38,0.011s,PASSED
"println(""***************************************"")",,,,2019-09-24 22:05:38,2019-09-24 22:05:38,0.002s,PASSED
value = uniqueTokenCode,,,,2019-09-24 22:05:38,2019-09-24 22:05:38,0.017s,PASSED
println(value),,,,2019-09-24 22:05:38,2019-09-24 22:05:38,0.001s,PASSED
uniquetoken = value,,,,2019-09-24 22:05:38,2019-09-24 22:05:38,0.002s,PASSED
"println(""***************************************"")",,,,2019-09-24 22:05:38,2019-09-24 22:05:38,0.004s,PASSED
"println(""UNIQ TOKEN ID IS GENARATED  = "" + uniquetoken)",,,,2019-09-24 22:05:38,2019-09-24 22:05:38,0.002s,PASSED
"println(""***************************************"")",,,,2019-09-24 22:05:38,2019-09-24 22:05:38,0.001s,PASSED
,,,,,,,
Test Cases/aValidate_OTPTest,,,,2019-09-24 22:05:38,2019-09-24 22:05:39,0.929s,PASSED
"sendRequest(findTestObject(""aValidate OTP"", [""uniqueToken"":uniquetoken, ""userId"":userid]))",,,,2019-09-24 22:05:39,2019-09-24 22:05:39,0.235s,PASSED
"response1 = sendRequest(findTestObject(""aValidate Mobile Number""))",,,,2019-09-24 22:05:39,2019-09-24 22:05:39,0.280s,PASSED
