Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SMARTINDONASIA_API_SmokeTest2,,,,2019-09-24 22:06:29,2019-09-24 22:06:35,6.360s,INCOMPLETE
,,,,,,,
Test Cases/a.ValidateMobileNumber_Test,,,,2019-09-24 22:06:29,2019-09-24 22:06:33,3.598s,PASSED
"sendRequest(findTestObject(""aValidate Mobile Number"", [""protocal"":Endpoint]))",,,,2019-09-24 22:06:30,2019-09-24 22:06:32,1.945s,PASSED
"response = sendRequestAndVerify(findTestObject(""aValidate Mobile Number"", [""protocal"":Endpoint]))",,,,2019-09-24 22:06:32,2019-09-24 22:06:33,1.084s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2019-09-24 22:06:33,2019-09-24 22:06:33,0.014s,PASSED
result = slurper.parseText(response.getResponseText()),,,,2019-09-24 22:06:33,2019-09-24 22:06:33,0.023s,PASSED
"println(""***************************************"")",,,,2019-09-24 22:06:33,2019-09-24 22:06:33,0.008s,PASSED
"println(""THIS IS THE RESPONSE FROM VALIDATEMOBILENUMBER TEST CASE = "" + result)",,,,2019-09-24 22:06:33,2019-09-24 22:06:33,0.008s,PASSED
"println(""***************************************"")",,,,2019-09-24 22:06:33,2019-09-24 22:06:33,0.002s,PASSED
value = uniqueTokenCode,,,,2019-09-24 22:06:33,2019-09-24 22:06:33,0.019s,PASSED
println(value),,,,2019-09-24 22:06:33,2019-09-24 22:06:33,0.001s,PASSED
uniquetoken = value,,,,2019-09-24 22:06:33,2019-09-24 22:06:33,0.002s,PASSED
"println(""***************************************"")",,,,2019-09-24 22:06:33,2019-09-24 22:06:33,0.005s,PASSED
"println(""UNIQ TOKEN ID IS GENARATED  = "" + uniquetoken)",,,,2019-09-24 22:06:33,2019-09-24 22:06:33,0.004s,PASSED
"println(""***************************************"")",,,,2019-09-24 22:06:33,2019-09-24 22:06:33,0.002s,PASSED
,,,,,,,
Test Cases/aValidate_OTPTest,,,,2019-09-24 22:06:33,2019-09-24 22:06:34,0.876s,PASSED
"sendRequest(findTestObject(""aValidate OTP"", [""uniqueToken"":uniquetoken, ""userId"":userid]))",,,,2019-09-24 22:06:33,2019-09-24 22:06:34,0.227s,PASSED
"response1 = sendRequest(findTestObject(""aValidate Mobile Number""))",,,,2019-09-24 22:06:34,2019-09-24 22:06:34,0.299s,PASSED
slurper1 = new groovy.json.JsonSlurper(),,,,2019-09-24 22:06:34,2019-09-24 22:06:34,0.001s,PASSED
result1 = slurper1.parseText(responseBodyContent),,,,2019-09-24 22:06:34,2019-09-24 22:06:34,0.001s,PASSED
"println(""***************************************"")",,,,2019-09-24 22:06:34,2019-09-24 22:06:34,0.005s,PASSED
"println(""THIS IS THE RESPONSE FROM VALIDATEOTP TEST CASE = "" + result1)",,,,2019-09-24 22:06:34,2019-09-24 22:06:34,0.001s,PASSED
"println(""***************************************"")",,,,2019-09-24 22:06:34,2019-09-24 22:06:34,0.001s,PASSED
value1 = userId,,,,2019-09-24 22:06:34,2019-09-24 22:06:34,0.000s,PASSED
userid = value1,,,,2019-09-24 22:06:34,2019-09-24 22:06:34,0.000s,PASSED
"println(""***************************************"")",,,,2019-09-24 22:06:34,2019-09-24 22:06:34,0.001s,PASSED
"println(""THE USER ID IS GENARATED  = "" + userid)",,,,2019-09-24 22:06:34,2019-09-24 22:06:34,0.001s,PASSED
"println(""***************************************"")",,,,2019-09-24 22:06:34,2019-09-24 22:06:34,0.000s,PASSED
,,,,,,,
Test Cases/yMobileTracking_Test,,,,2019-09-24 22:06:34,2019-09-24 22:06:35,1.480s,FAILED
"sendRequest(findTestObject(""yMobile Tracking"", [""uniqueToken"":uniquetoken, ""userId"":userid, ""createdDatE"":createdDatE, ""ctiD"":ctiD, ""submittedDatE"":submittedDatE]))",,,,2019-09-24 22:06:34,2019-09-24 22:06:35,0.218s,PASSED
"responsey = sendRequestAndVerify(findTestObject(""yMobile Tracking"", [""uniqueToken"":uniquetoken, ""userId"":userid, ""createdDatE"":createdDatE, ""ctiD"":ctiD, ""submittedDatE"":submittedDatE]))",,,,2019-09-24 22:06:35,2019-09-24 22:06:35,0.854s,FAILED
